xSrcPort,xDstPort,xPkt,xMin_Pbyte0,xMin_Pbyte1,xMax_Pbyte0,xMax_Pbyte1,xIni_Pbyte0,xMax_ConsPkt0,Class
7273,7273,2,72,0,72,72,0,2,
4024,8000,2,63,39,63,63,39,1,
52874,9617,1,117,0,117,117,0,1,
1863,1095,1,94,0,94,94,0,1,
56321,9022,2,52,52,52,52,52,1,
1863,2813,112,94,1127,94,95,1128,11,
56321,9025,2,52,52,52,52,52,1,
1863,1095,1,94,0,94,94,0,1,
1863,1863,1,61,0,61,61,0,1,
1863,9855,1,61,0,61,61,0,1,
56321,9027,1,52,0,52,52,0,1,
12345,8000,2,78,37,78,78,37,1,
7000,30982,1,92,0,92,92,0,1,
40262,8000,2,78,37,78,78,37,1,
7000,6868,1,95,0,95,95,0,1,
1863,1092,4,86,0,86,86,0,4,
1863,8008,2,69,18,69,69,18,1,
1863,26666,2,86,0,86,86,0,2,
1863,30364,5,88,474,95,95,1129,2,
1863,51389,5,88,510,94,94,1136,2,
1863,1864,2,88,297,88,88,297,1,
1863,1095,6,88,393,88,88,1128,1,
1863,26575,1,88,0,88,88,0,1,
1863,1863,1,88,0,88,88,0,1,
56321,9025,2,52,52,52,52,52,1,
56321,9022,2,52,52,52,52,52,1,
49581,9617,4,117,121,117,158,162,2,
6881,4708,2,115,297,115,115,297,1,
1863,2813,393,93,1126,95,95,1128,26,
56321,9026,2,52,52,52,52,52,1,
7000,28056,6,28,28,28,66,76,3,
7000,4101,1,92,0,92,92,0,1,
7000,20944,1,95,0,95,95,0,1,
49581,9617,2,217,43,217,217,43,1,
56321,9025,2,52,52,52,52,52,1,
1863,2813,438,88,435,95,95,1128,30,
4028,8000,2,47,55,47,47,55,1,
56321,9021,2,52,52,52,52,52,1,
1863,26575,2,61,61,61,61,61,1,
7000,9805,2,143,0,149,149,0,2,
50500,53,28,40,114,47,48,290,14,
56321,9022,2,52,52,52,52,52,1,
7000,6617,4,233,893,256,256,897,2,
7000,7000,2,54,92,54,54,92,1,
7000,12735,2,54,92,54,54,92,1,
7000,27630,2,54,92,54,54,92,1,
7000,7000,2,54,56,54,54,56,1,
7000,17414,2,54,88,54,54,88,1,
7000,8000,2,54,92,54,54,92,1,
7000,7199,1,54,0,54,54,0,1,
7000,8000,3,45,92,45,54,92,2,
7000,39440,2,54,92,54,54,92,1,
7000,7000,2,54,92,54,54,92,1,
7000,20842,2,54,92,54,54,92,1,
7000,5179,2,54,92,54,54,92,1,
7000,20822,2,54,92,54,54,92,1,
7000,20510,2,54,92,54,54,92,1,
7000,27593,3,45,92,45,54,92,2,
7000,8000,2,54,92,54,54,92,1,
7000,7000,2,54,92,54,54,92,1,
7000,14346,3,45,92,45,54,92,2,
7000,8000,3,45,92,45,54,92,2,
7000,8000,2,54,92,54,54,92,1,
7000,8000,2,54,92,54,54,92,1,
7000,7000,2,54,92,54,54,92,1,
7000,7000,2,54,92,54,54,92,1,
7000,7000,2,54,92,54,54,92,1,
7000,2208,2,54,92,54,54,92,1,
7000,7000,3,45,92,45,54,92,2,
7000,20481,2,54,92,54,54,92,1,
7000,7000,2,54,92,54,54,92,1,
7000,65079,2,54,92,54,54,92,1,
7000,8000,2,54,92,54,54,92,1,
7000,5080,2,54,92,54,54,92,1,
7000,8000,3,45,92,45,54,92,2,
7000,3107,3,45,92,45,54,92,2,
7000,23736,2,54,92,54,54,92,1,
7000,1644,2,54,92,54,54,92,1,
7000,20459,2,54,92,54,54,92,1,
7000,11008,2,54,56,54,54,56,1,
7000,8635,2,54,92,54,54,92,1,
7000,22324,3,45,92,45,54,92,2,
7000,8000,2,54,92,54,54,92,1,
7000,8088,2,91,23,91,91,23,1,
1863,1092,1,61,0,61,61,0,1,
1863,26666,1,61,0,61,61,0,1,
1863,30364,5,88,474,94,94,1128,2,
1863,51389,5,88,510,93,93,1132,2,
1863,1095,2,88,393,88,88,393,1,
1863,1864,2,88,297,88,88,297,1,
1863,1863,1,88,0,88,88,0,1,
56321,9021,2,52,52,52,52,52,1,
49752,8000,2,99,99,99,99,99,1,
4016,8000,4,47,39,175,175,55,2,
56321,9021,2,52,52,52,52,52,1,
1863,8002,2,33,36,33,33,36,1,
4000,8000,1,47,0,47,47,0,1,
1863,12352,25,95,1130,95,95,1130,5,
1863,2813,425,95,752,95,95,1128,31,
56321,9024,2,52,52,52,52,52,1,
56321,9021,2,52,52,52,52,52,1,
7000,8706,4,77,38,77,77,38,2,
1863,18888,2,250,695,250,250,695,1,
56321,9021,2,52,52,52,52,52,1,
1863,2813,241,95,1128,95,95,1128,17,
56321,9027,2,52,52,52,52,52,1,
4019,8000,2,47,71,47,47,71,1,
1863,1863,2,61,61,61,61,61,1,
1863,30364,3,95,1129,95,95,1129,1,
1863,51389,3,93,1135,93,93,1136,1,
56321,9023,2,52,52,52,52,52,1,
1863,2813,304,95,1128,95,95,1128,23,
7273,8828,4,258,113,258,358,260,2,
56321,9022,2,52,52,52,52,52,1,
7000,28056,2,28,28,28,28,28,1,
1863,51389,3,93,1131,93,93,1132,1,
56321,9022,2,52,52,52,52,52,1,
1863,12352,32,94,1129,95,95,1130,9,
56321,9023,2,52,52,52,52,52,1,
12345,8000,4,75,37,78,78,37,2,
7000,41577,1,92,0,92,92,0,1,
1863,51389,3,93,1131,93,93,1132,1,
7000,7000,1,92,0,92,92,0,1,
1863,30364,5,88,432,95,95,1129,2,
1863,51389,2,88,452,88,88,452,1,
1863,1095,2,88,351,88,88,351,1,
1863,1864,2,88,267,88,88,267,1,
1863,18888,2,250,791,250,250,791,1,
56321,9070,2,52,52,52,52,52,1,
53597,3544,2,69,117,69,69,117,1,
1863,1173,17,86,45,86,95,1130,6,
1863,8011,2,70,18,70,70,18,1,
1863,38502,136,86,87,86,95,1135,17,
1863,38042,158,86,43,86,95,1131,13,
1863,8017,2,71,18,71,71,18,1,
56321,9070,2,52,52,52,52,52,1,
7000,46384,1,95,0,95,95,0,1,
56321,9070,2,52,52,52,52,52,1,
56321,9070,2,52,52,52,52,52,1,
6881,18890,1,119,0,119,119,0,1,
1863,51389,3,95,1129,95,95,1129,1,
56321,9070,2,52,52,52,52,52,1,
1863,38502,84,88,412,94,95,1128,11,
4019,8000,2,63,39,63,63,39,1,
7000,22712,1,95,0,95,95,0,1,
56321,9070,2,52,52,52,52,52,1,
1863,30364,2,88,404,88,88,404,1,
1863,51389,2,88,416,88,88,416,1,
1863,1095,2,88,323,88,88,323,1,
1863,1864,2,88,247,88,88,247,1,
59741,53,4,39,179,39,39,179,2,
56321,9070,2,52,52,52,52,52,1,
1863,12352,49,95,1130,95,95,1130,12,
1863,38042,313,93,708,95,95,1135,25,
1863,38502,35,93,1127,95,95,1131,8,
1863,30364,6,95,1129,95,95,1129,2,
1863,30013,2,362,151,362,362,151,1,
7000,28056,2,28,28,28,28,28,1,
1863,51389,3,95,1129,95,95,1129,1,
1863,12352,6,88,253,95,95,1130,2,
1863,30364,2,88,376,88,88,376,1,
1863,51389,2,88,380,88,88,380,1,
1863,1095,2,88,295,88,88,295,1,
1863,1864,2,88,227,88,88,227,1,
7000,7700,1,95,0,95,95,0,1,
1863,30364,6,95,1129,95,95,1129,2,
40262,8000,2,147,28,147,147,28,1,
12345,8000,2,77,37,77,77,37,1,
7000,34393,1,95,0,95,95,0,1,
1863,38042,62,61,61,95,95,1128,5,
1863,38502,96,61,61,95,95,1128,10,
40262,8000,2,78,37,78,78,37,1,
1863,51389,5,61,61,95,95,1129,2,
1863,1095,1,61,0,61,61,0,1,
59617,8000,2,194,538,194,194,538,1,
1863,1864,2,61,61,61,61,61,1,
1863,30364,2,61,61,61,61,61,1,
1863,12352,2,61,63,61,61,63,1,
4028,8000,2,47,71,47,47,71,1,
7000,12561,1,95,0,95,95,0,1,
1863,18888,4,250,125,250,250,963,2,
1863,1173,11,86,45,86,88,119,3,
1863,8011,4,70,18,70,70,18,2,
1863,18509,4,86,0,86,86,0,4,
1863,55405,4,86,0,86,86,0,4,
1863,8001,2,69,18,69,69,18,1,
1863,38502,221,86,87,88,95,1128,16,
1863,43901,4,86,0,86,86,0,4,
1863,8007,2,70,18,70,70,18,1,
1863,1092,13,86,43,86,95,1129,6,
1863,8008,6,33,18,69,69,36,3,
1863,30364,8,86,87,86,95,1129,4,
1863,1095,14,86,44,86,86,70,4,
1863,8016,4,71,18,71,71,18,2,
1863,1863,7,86,43,86,88,87,3,
1863,2813,8,86,44,86,86,70,2,
1863,8012,2,71,18,71,71,18,1,
1863,26575,7,86,43,86,88,87,3,
1863,51389,10,86,43,86,95,1129,4,
1863,8004,4,69,18,69,69,18,2,
1863,12352,15,86,45,86,88,119,5,
1863,8009,2,71,18,71,71,18,1,
1863,38042,106,86,43,86,95,1128,15,
1863,8017,2,71,18,71,71,18,1,
1863,1864,6,86,87,86,88,117,3,
1863,9855,5,86,87,86,88,87,3,
1863,50588,4,86,0,86,86,0,4,
1863,54659,2,86,0,86,86,0,2,
6881,21691,1,119,0,119,119,0,1,
56285,9617,1,117,0,117,117,0,1,
1863,38502,97,94,1127,95,95,1131,18,
1863,38042,74,61,1128,95,95,1128,14,
59617,8000,4,274,178,274,282,266,2,
7000,60655,1,95,0,95,95,0,1,
52874,9617,1,117,0,117,117,0,1,
1863,18509,3,61,0,86,86,0,3,
1863,8003,2,70,18,70,70,18,1,
1863,55405,3,61,0,86,86,0,3,
1863,8001,2,69,18,69,69,18,1,
1863,43901,3,61,0,86,86,0,3,
1863,8007,2,70,18,70,70,18,1,
1863,50588,3,61,0,86,86,0,3,
1863,8015,2,69,18,69,69,18,1,
1863,54659,3,61,0,86,86,0,3,
1863,9855,1,61,0,61,61,0,1,
1863,1864,1,61,0,61,61,0,1,
1863,1095,1,61,0,61,61,0,1,
1863,12352,1,61,0,61,61,0,1,
1863,1863,1,61,0,61,61,0,1,
1863,26575,1,61,0,61,61,0,1,
1863,2813,1,61,0,61,61,0,1,
1863,1173,1,61,0,61,61,0,1,
1863,30364,1,61,0,61,61,0,1,
1863,51389,2,61,61,61,61,61,1,
1863,1092,1,61,0,61,61,0,1,
56339,8000,6,242,170,242,306,186,3,
7273,8829,2,258,260,258,258,260,1,
1863,30011,2,248,135,248,248,135,1,
56339,8000,12,242,170,242,354,210,6,
49581,9617,1,117,0,117,117,0,1,
57905,20000,4,28,64,28,28,64,2,
57905,61040,3,108,0,108,108,0,3,
57001,65162,3,104,0,104,104,0,3,
57001,20256,32,65,53,104,546,1217,14,
7000,28056,2,28,28,28,28,28,1,
57001,20256,411,65,65,65,1237,1233,152,
57905,61040,2,108,0,108,108,0,2,
57001,65162,2,104,0,104,104,0,2,
65229,20000,2,28,64,28,28,64,1,
4019,8000,2,47,55,47,47,55,1,
12345,8000,4,78,37,78,78,37,2,
65229,56814,12,108,0,108,108,0,12,
6881,3481,1,119,0,119,119,0,1,
65229,56814,12,108,0,108,108,0,12,
53597,3544,6,64,64,69,69,117,3,
58812,53597,3,60,60,60,60,60,2,
54821,53597,3,60,60,60,60,60,2,
65229,56814,21,108,0,108,108,0,21,
57001,20256,184,65,65,65,1237,1233,69,
60136,8000,3,175,87,175,175,159,1,
65229,56814,20,108,0,108,108,0,20,
57905,61040,2,108,0,108,108,0,2,
57001,65162,3,104,0,104,104,0,3,
65229,56814,21,108,0,108,108,0,21,
57001,20256,152,65,65,65,1237,1233,62,
65229,56814,20,108,0,108,108,0,20,
57905,61040,4,108,0,108,108,0,4,
57001,65162,3,104,0,104,104,0,3,
7000,7000,1,95,0,95,95,0,1,
65229,56814,20,108,0,108,108,0,20,
65229,56814,20,108,0,108,108,0,20,
57001,65162,1,104,0,104,104,0,1,
7000,50443,1,92,0,92,92,0,1,
57905,61040,3,108,0,108,108,0,3,
12345,8000,2,149,29,149,149,29,1,
65229,56814,3,108,0,108,108,0,3,
65229,56814,3,108,0,108,108,0,3,
57905,61040,3,108,0,108,108,0,3,
60136,8000,2,55,71,55,55,71,1,
50615,20000,4,28,64,28,28,64,2,
50615,58838,4,104,0,104,104,0,4,
7000,28056,2,28,28,28,28,28,1,
57905,61040,3,108,0,108,108,0,3,
50618,20000,4,28,64,28,28,64,2,
50618,56982,8,108,0,108,108,0,8,
7000,8706,4,77,38,77,77,38,2,
50618,56982,350,61,72,108,1245,1241,222,
50615,58838,2,104,0,104,104,0,2,
4024,8000,2,47,55,47,47,55,1,
50618,56982,44,72,72,108,1245,1241,22,
57905,61040,3,108,0,108,108,0,3,
50618,56982,3,108,0,108,108,0,3,
50615,58838,3,104,0,104,104,0,3,
57905,61040,1,108,0,108,108,0,1,
62169,53,4,41,92,41,41,121,2,
50618,56982,3,108,0,108,108,0,3,
50615,58838,4,104,0,104,104,0,4,
1863,8002,2,33,36,33,33,36,1,
12345,8000,2,78,37,78,78,37,1,
40262,8000,2,75,37,75,75,37,1,
50618,56982,809,72,72,73,1245,1241,486,
50618,56982,3,108,0,108,108,0,3,
50615,58838,3,104,0,104,104,0,3,
50618,56982,195,72,73,73,1245,1241,72,
50618,56982,4,108,0,108,108,0,4,
50615,58838,3,104,0,104,104,0,3,
7000,8000,1,95,0,95,95,0,1,
1863,30013,2,359,151,359,359,151,1,
52241,60665,1,337,0,337,337,0,1,
50615,20000,4,28,64,28,28,64,2,
4024,8000,2,175,159,175,175,159,1,
7000,28056,2,28,28,28,28,28,1,
50618,56982,718,73,72,129,1245,1241,357,
4028,8000,2,47,55,47,47,55,1,
50615,58838,3,104,0,104,104,0,3,
50618,20000,2,28,64,28,28,64,1,
50618,56982,3,108,0,108,108,0,3,
6881,25951,1,119,0,119,119,0,1,
50618,56982,39,72,72,129,1245,1241,22,
50618,56982,3,108,0,108,108,0,3,
50615,58838,3,104,0,104,104,0,3,
4016,8000,2,47,55,47,47,55,1,
56321,9023,2,52,52,52,52,52,1,
4000,8000,4,47,55,47,47,71,2,
50618,56982,694,72,72,129,1245,1241,363,
56321,9021,2,52,52,52,52,52,1,
50618,56982,2,108,0,108,108,0,2,
7273,8829,2,258,260,258,258,260,1,
40262,8000,1,57,0,57,57,0,1,
52577,8000,19,79,91,131,331,835,10,
62409,8000,2,79,110,79,79,110,1,
56321,9024,2,52,52,52,52,52,1,
56321,9022,2,52,52,52,52,52,1,
50615,20266,378,65,65,1237,1237,1233,244,
50618,56982,33,72,72,1245,1245,1241,17,
56321,9022,2,52,52,52,52,52,1,
53597,3544,2,69,117,69,69,117,1,
56321,9026,2,52,52,52,52,52,1,
50618,56982,575,72,73,73,1245,1241,297,
4019,8000,2,175,159,175,175,159,1,
4016,8000,2,191,431,191,191,431,1,
50615,20266,379,65,65,1237,1237,1233,135,
56321,9021,2,52,52,52,52,52,1,
50615,20000,4,28,64,28,28,64,2,
56285,9617,1,117,0,117,117,0,1,
56321,9025,2,52,52,52,52,52,1,
40262,8000,1,58,0,58,58,0,1,
50618,56982,30,73,72,129,1245,1241,15,
7000,28056,2,28,28,28,28,28,1,
50615,20266,60,65,65,121,1237,1217,26,
50618,20000,4,28,64,28,28,64,2,
56321,9027,2,52,52,52,52,52,1,
12345,8000,4,76,37,77,77,37,2,
62268,59712,3,104,0,104,104,0,3,
62268,45928,218,65,53,104,1237,1233,144,
56321,9023,2,52,52,52,52,52,1,
62268,45928,454,65,65,1237,1237,1217,287,
50615,20266,612,65,65,1237,1237,1233,306,
50618,56982,674,72,72,129,1245,1241,331,
62268,59712,2,104,0,104,104,0,2,
56321,9024,2,52,52,52,52,52,1,
7000,45169,1,95,0,95,95,0,1,
56321,9022,2,52,52,52,52,52,1,
52874,9617,1,117,0,117,117,0,1,
60284,53,8,37,82,37,37,128,4,
7000,42187,1,95,0,95,95,0,1,
50615,20266,332,65,65,104,1237,1233,214,
58625,53,10,35,51,35,39,101,5,
62268,59712,3,104,0,104,104,0,3,
50618,56982,34,72,72,73,1245,1241,18,
56321,9025,2,52,52,52,52,52,1,
40262,8000,1,56,0,56,56,0,1,
56321,9021,2,52,52,52,52,52,1,
62268,59712,3,104,0,104,104,0,3,
50618,56982,746,72,73,129,1245,1241,378,
63486,53,4,38,83,38,38,129,2,
56321,9026,2,52,52,52,52,52,1,
54825,8000,2,218,298,218,218,298,1,
